CIE10,DIAGNO,CLASIFICA,CDIAG
C020,TUMOR MALIGNO DE LA CARA DORSAL DE LA LENGUA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C020      TUMOR MALIGNO DE LA CARA DORSAL DE LA LENGUA
C021,TUMOR MALIGNO DEL BORDE DE LA LENGUA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C021      TUMOR MALIGNO DEL BORDE DE LA LENGUA
C022,TUMOR MALIGNO DE LA CARA VENTRAL DE LA LENGUA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C022      TUMOR MALIGNO DE LA CARA VENTRAL DE LA LENGUA
C023,TUMOR MALIGNO DE LOS DOS TERCIOS ANTERIORES DE LENGUA PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C023      TUMOR MALIGNO DE LOS DOS TERCIOS ANTERIORES DE LENGUA PARTE NO ESPECIFICADA
C024,TUMOR MALIGNO DE LA AMIGDALA LINGUAL,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C024      TUMOR MALIGNO DE LA AMIGDALA LINGUAL
C028,LESION DE SITIOS CONTIGUOS DE LA LENGUA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C028      LESION DE SITIOS CONTIGUOS DE LA LENGUA
C029,TUMOR MALIGNO DE LA LENGUA PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C029      TUMOR MALIGNO DE LA LENGUA PARTE NO ESPECIFICADA
C03,TUMOR MALIGNO DE LA ENCIA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C03       TUMOR MALIGNO DE LA ENCIA
C030,TUMOR MALIGNO DE LA ENCIA SUPERIOR,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C030      TUMOR MALIGNO DE LA ENCIA SUPERIOR
C031,TUMOR MALIGNO DE LA ENCIA INFERIOR,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C031      TUMOR MALIGNO DE LA ENCIA INFERIOR
C039,TUMOR MALIGNO DE LA ENCIA PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C039      TUMOR MALIGNO DE LA ENCIA PARTE NO ESPECIFICADA
C04,TUMOR MALIGNO DEL PISO DE LA BOCA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C04       TUMOR MALIGNO DEL PISO DE LA BOCA
C040,TUMOR MALIGNO DE LA PARTE ANTERIOR DEL PISO DE LA BOCA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C040      TUMOR MALIGNO DE LA PARTE ANTERIOR DEL PISO DE LA BOCA
C041,TUMOR MALIGNO DE LA PARTE LATERAL DEL PISO DE LA BOCA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C041      TUMOR MALIGNO DE LA PARTE LATERAL DEL PISO DE LA BOCA
C048,LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C048      LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA
C049,TUMOR MALIGNO DEL PISO DE LA BOCA PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C049      TUMOR MALIGNO DEL PISO DE LA BOCA PARTE NO ESPECIFICADA
C05,TUMOR MALIGNO DEL PALADAR,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C05       TUMOR MALIGNO DEL PALADAR
C050,TUMOR MALIGNO DEL PALADAR DURO,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C050      TUMOR MALIGNO DEL PALADAR DURO
C051,TUMOR MALIGNO DEL PALADAR BLANDO,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C051      TUMOR MALIGNO DEL PALADAR BLANDO
C052,TUMOR MALIGNO DE LA UVULA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C052      TUMOR MALIGNO DE LA UVULA
C058,LESION DE SITIOS CONTIGUOS DEL PALADAR,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C058      LESION DE SITIOS CONTIGUOS DEL PALADAR
C059,TUMOR MALIGNO DEL PALADAR PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C059      TUMOR MALIGNO DEL PALADAR PARTE NO ESPECIFICADA
C06,TUMOR MALIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C06       TUMOR MALIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA
C060,TUMOR MALIGNO DE LA MUCOSA DE LA MEJILLA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C060      TUMOR MALIGNO DE LA MUCOSA DE LA MEJILLA
C061,TUMOR MALIGNO DEL VESTIBULO DE LA BOCA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C061      TUMOR MALIGNO DEL VESTIBULO DE LA BOCA
C062,TUMOR MALIGNO DEL AREA RETROMOLAR,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C062      TUMOR MALIGNO DEL AREA RETROMOLAR
C068,LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C068      LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA
C069,TUMOR MALIGNO DE LA BOCA PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C069      TUMOR MALIGNO DE LA BOCA PARTE NO ESPECIFICADA
C07,TUMOR MALIGNO DE LA GLANDULA PAROTIDA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C07       TUMOR MALIGNO DE LA GLANDULA PAROTIDA
C08,TUMOR MALIGNO DE OTRAS GLANDULAS SALIVALES MAYORES Y DE LAS NO ESPECIFICADAS,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C08       TUMOR MALIGNO DE OTRAS GLANDULAS SALIVALES MAYORES Y DE LAS NO ESPECIFICADAS
C080,TUMOR MALIGNO DE LA GLANDULA SUBMAXILAR,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C080      TUMOR MALIGNO DE LA GLANDULA SUBMAXILAR
C081,TUMOR MALIGNO DE LA GLANDULA SUBLINGUAL,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C081      TUMOR MALIGNO DE LA GLANDULA SUBLINGUAL
C088,LESION DE SITIOS CONTIGUOS DE LAS GLANDULAS SALIVALES MAYORES,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C088      LESION DE SITIOS CONTIGUOS DE LAS GLANDULAS SALIVALES MAYORES
C089,TUMOR MALIGNO DE GLANDULA SALIVAL MAYOR NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C089      TUMOR MALIGNO DE GLANDULA SALIVAL MAYOR NO ESPECIFICADA
C09,TUMOR MALIGNO DE LA AMIGDALA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C09       TUMOR MALIGNO DE LA AMIGDALA
C090,TUMOR MALIGNO DE LA FOSA AMIGDALINA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C090      TUMOR MALIGNO DE LA FOSA AMIGDALINA
C091,TUMOR MALIGNO DEL PILAR AMIGDALINO ANTERIOR POSTERIOR,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C091      TUMOR MALIGNO DEL PILAR AMIGDALINO ANTERIOR POSTERIOR
C098,LESION DE SITIOS CONTIGUOS DE LA AMIGDALA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C098      LESION DE SITIOS CONTIGUOS DE LA AMIGDALA
C099,TUMOR MALIGNO DE LA AMIGDALA PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C099      TUMOR MALIGNO DE LA AMIGDALA PARTE NO ESPECIFICADA
C10,TUMOR MALIGNO DE LA OROFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C10       TUMOR MALIGNO DE LA OROFARINGE
C100,TUMOR MALIGNO DE LA VALECULA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C100      TUMOR MALIGNO DE LA VALECULA
C101,TUMOR MALIGNO DE LA CARA ANTERIOR DE LA EPIGLOTIS,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C101      TUMOR MALIGNO DE LA CARA ANTERIOR DE LA EPIGLOTIS
C102,TUMOR MALIGNO DE LA PARED LATERAL DE LA OROFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C102      TUMOR MALIGNO DE LA PARED LATERAL DE LA OROFARINGE
C103,TUMOR MALIGNO DE LA PARED POSTERIOR DE LA OROFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C103      TUMOR MALIGNO DE LA PARED POSTERIOR DE LA OROFARINGE
C104,TUMOR MALIGNO DE LA HENDIDURA BRANQUIAL,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C104      TUMOR MALIGNO DE LA HENDIDURA BRANQUIAL
C108,LESION DE SITIOS CONTIGUOS DE LA OROFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C108      LESION DE SITIOS CONTIGUOS DE LA OROFARINGE
C109,TUMOR MALIGNO DE LA OROFARINGE PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C109      TUMOR MALIGNO DE LA OROFARINGE PARTE NO ESPECIFICADA
C11,TUMOR MALIGNO DE LA NASOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C11       TUMOR MALIGNO DE LA NASOFARINGE
C110,TUMOR MALIGNO DE LA PARED SUPERIOR DE LA NASOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C110      TUMOR MALIGNO DE LA PARED SUPERIOR DE LA NASOFARINGE
C111,TUMOR MALIGNO DE LA PARED POSTERIOR DE LA NASOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C111      TUMOR MALIGNO DE LA PARED POSTERIOR DE LA NASOFARINGE
C112,TUMOR MALIGNO DE LA PARED LATERAL DE LA NASOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C112      TUMOR MALIGNO DE LA PARED LATERAL DE LA NASOFARINGE
C113,TUMOR MALIGNO DE LA PARED ANTERIOR DE LA NASOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C113      TUMOR MALIGNO DE LA PARED ANTERIOR DE LA NASOFARINGE
C118,LESION DE SITIOS CONTIGUOS DE LA NASOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C118      LESION DE SITIOS CONTIGUOS DE LA NASOFARINGE
C119,TUMOR MALIGNO DE LA NASOFARINGE PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C119      TUMOR MALIGNO DE LA NASOFARINGE PARTE NO ESPECIFICADA
C12,TUMOR MALIGNO DEL SENO PIRIFORME,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C12       TUMOR MALIGNO DEL SENO PIRIFORME
C13,TUMOR MALIGNO DE LA HIPOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C13       TUMOR MALIGNO DE LA HIPOFARINGE
C130,TUMOR MALIGNO DE LA REGION POSTCRICOIDEA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C130      TUMOR MALIGNO DE LA REGION POSTCRICOIDEA
C131,TUMOR MALIGNO DEL PLIEGUE ARITENOEPIGLOTICO CARA HIPOFARINGEA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C131      TUMOR MALIGNO DEL PLIEGUE ARITENOEPIGLOTICO CARA HIPOFARINGEA
C132,TUMOR MALIGNO DE LA PARED POSTERIOR DE LA HIPOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C132      TUMOR MALIGNO DE LA PARED POSTERIOR DE LA HIPOFARINGE
C138,LESION DE SITIOS CONTIGUOS DE LA HIPOFARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C138      LESION DE SITIOS CONTIGUOS DE LA HIPOFARINGE
C139,TUMOR MALIGNO DE LA HIPOFARINGE PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C139      TUMOR MALIGNO DE LA HIPOFARINGE PARTE NO ESPECIFICADA
C14,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DEL LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C14       TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DEL LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE
C140,TUMOR MALIGNO DE LA FARINGE PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C140      TUMOR MALIGNO DE LA FARINGE PARTE NO ESPECIFICADA
C142,TUMOR MALIGNO DEL ANILLO DE WALDEYER,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C142      TUMOR MALIGNO DEL ANILLO DE WALDEYER
C148,LESION DE SITIOS CONTIGUOS DEL LABIO DE LA CAVIDAD BUCAL Y DE FARINGE,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C148      LESION DE SITIOS CONTIGUOS DEL LABIO DE LA CAVIDAD BUCAL Y DE FARINGE
C15,TUMOR MALIGNO DEL ESOFAGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C15       TUMOR MALIGNO DEL ESOFAGO
C150,TUMOR MALIGNO DEL ESOFAGO PORCION CERVICAL,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C150      TUMOR MALIGNO DEL ESOFAGO PORCION CERVICAL
C151,TUMOR MALIGNO DEL ESOFAGO PORCION TORACICA,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C151      TUMOR MALIGNO DEL ESOFAGO PORCION TORACICA
C152,TUMOR MALIGNO DEL ESOFAGO PORCION ABDOMINAL,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C152      TUMOR MALIGNO DEL ESOFAGO PORCION ABDOMINAL
C153,TUMOR MALIGNO DEL TERCIO SUPERIOR DEL ESOFAGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C153      TUMOR MALIGNO DEL TERCIO SUPERIOR DEL ESOFAGO
C154,TUMOR MALIGNO DEL TERCIO MEDIO DEL ESOFAGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C154      TUMOR MALIGNO DEL TERCIO MEDIO DEL ESOFAGO
C155,TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESOFAGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C155      TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESOFAGO
C158,LESION DE SITIOS CONTIGUOS DEL ESOFAGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C158      LESION DE SITIOS CONTIGUOS DEL ESOFAGO
C159,TUMOR MALIGNO DEL ESOFAGO PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C159      TUMOR MALIGNO DEL ESOFAGO PARTE NO ESPECIFICADA
C16,TUMOR MALIGNO DEL ESTOMAGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C16       TUMOR MALIGNO DEL ESTOMAGO
C160,TUMOR MALIGNO DEL CARDIAS,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C160      TUMOR MALIGNO DEL CARDIAS
C161,TUMOR MALIGNO DEL FUNDUS GASTRICO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C161      TUMOR MALIGNO DEL FUNDUS GASTRICO
C162,TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C162      TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO
C163,TUMOR MALIGNO DEL ANTRO PILORICO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C163      TUMOR MALIGNO DEL ANTRO PILORICO
C164,TUMOR MALIGNO DEL PILORO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C164      TUMOR MALIGNO DEL PILORO
C165,TUMOR MALIGNO DE LA CURVATURA MENOR DEL ESTOMAGO SIN OTRA ESPECIFICACION,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C165      TUMOR MALIGNO DE LA CURVATURA MENOR DEL ESTOMAGO SIN OTRA ESPECIFICACION
C166,TUMOR MALIGNO DE LA CURVATURA MAYOR DEL ESTOMAGO SIN OTRA ESPECIFICACION,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C166      TUMOR MALIGNO DE LA CURVATURA MAYOR DEL ESTOMAGO SIN OTRA ESPECIFICACION
C168,LESION DE SITIOS CONTIGUOS DEL ESTOMAGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C168      LESION DE SITIOS CONTIGUOS DEL ESTOMAGO
C169,TUMOR MALIGNO DEL ESTOMAGO PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C169      TUMOR MALIGNO DEL ESTOMAGO PARTE NO ESPECIFICADA
C17,TUMOR MALIGNO DEL INTESTINO DELGADO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C17       TUMOR MALIGNO DEL INTESTINO DELGADO
C170,TUMOR MALIGNO DEL DUODENO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C170      TUMOR MALIGNO DEL DUODENO
C171,TUMOR MALIGNO DEL YEYUNO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C171      TUMOR MALIGNO DEL YEYUNO
C172,TUMOR MALIGNO DEL ILEON,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C172      TUMOR MALIGNO DEL ILEON
C173,TUMOR MALIGNO DEL DIVERTICULO DE MECKEL,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C173      TUMOR MALIGNO DEL DIVERTICULO DE MECKEL
C178,LESION DE SITIOS CONTIGUOS DEL INTESTINO DELGADO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C178      LESION DE SITIOS CONTIGUOS DEL INTESTINO DELGADO
C179,TUMOR MALIGNO DEL INTESTINO DELGADO PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C179      TUMOR MALIGNO DEL INTESTINO DELGADO PARTE NO ESPECIFICADA
C18,TUMOR MALIGNO DEL COLON,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C18       TUMOR MALIGNO DEL COLON
C180,TUMOR MALIGNO DEL CIEGO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C180      TUMOR MALIGNO DEL CIEGO
C181,TUMOR MALIGNO DEL APENDICE,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C181      TUMOR MALIGNO DEL APENDICE
C182,TUMOR MALIGNO DEL COLON ASCENDENTE,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C182      TUMOR MALIGNO DEL COLON ASCENDENTE
C183,TUMOR MALIGNO DEL ANGULO HEPATICO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C183      TUMOR MALIGNO DEL ANGULO HEPATICO
C184,TUMOR MALIGNO DEL COLON TRANSVERSO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C184      TUMOR MALIGNO DEL COLON TRANSVERSO
C185,TUMOR MALIGNO DEL ANGULO ESPLENICO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C185      TUMOR MALIGNO DEL ANGULO ESPLENICO
C186,TUMOR MALIGNO DEL COLON DESCENDENTE,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C186      TUMOR MALIGNO DEL COLON DESCENDENTE
C187,TUMOR MALIGNO DEL COLON SIGMOIDE,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C187      TUMOR MALIGNO DEL COLON SIGMOIDE
C188,LESION DE SITIOS CONTIGUOS DEL COLON,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C188      LESION DE SITIOS CONTIGUOS DEL COLON
C189,TUMOR MALIGNO DEL COLON PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C189      TUMOR MALIGNO DEL COLON PARTE NO ESPECIFICADA
C19,TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C19       TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA
C20,TUMOR MALIGNO DEL RECTO,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C20       TUMOR MALIGNO DEL RECTO
C21,TUMOR MALIGNO DEL ANO Y DEL CONDUCTO ANAL,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C21       TUMOR MALIGNO DEL ANO Y DEL CONDUCTO ANAL
C210,TUMOR MALIGNO DEL ANO PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C210      TUMOR MALIGNO DEL ANO PARTE NO ESPECIFICADA
C211,TUMOR MALIGNO DEL CONDUCTO ANAL,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C211      TUMOR MALIGNO DEL CONDUCTO ANAL
C212,TUMOR MALIGNO DE LA ZONA CLOACOGENICA,TUMORES MALIGNOS DE LOS ÓRGANOS DIGESTIVOS,C212      TUMOR MALIGNO DE LA ZONA CLOACOGENICA
